117;Видеокарта PowerColor Radeon R9 390 8Gb;1064138442;2018-10-21;13:51:00;//31.img.avito.st/640x480/4871048331.jpg,//97.img.avito.st/640x480/4871032197.jpg,//23.img.avito.st/640x480/4871048523.jpg,;Москва,м.Аэропорт;12 000;"
Продаю 3 видеокарты, в отличном состоянии.Приобретал в Регард 25.04.2017 гарантия до 25.04.2019Стоимость за одну штуку 12000 руб.За 2 штуки 11600 руб.За 3 штуки 11400 руб. ";videokarty;
118;Видеокарта gigabyte gtx 1060 6 gb;1285675897;2018-10-21;13:25:00;//78.img.avito.st/640x480/4494047378.jpg,//01.img.avito.st/640x480/4494047401.jpg,//14.img.avito.st/640x480/4494047414.jpg,//46.img.avito.st/640x480/4494047446.jpg,//53.img.avito.st/640x480/4494047453.jpg,//73.img.avito.st/640x480/4494047473.jpg,;Москва,м.Славянскийбульвар;15 000;"
Видеокарта gigabyte gtx 1060 6 gb gaming, куплена 27/12/17 , на гарантии, в отличном состоянии, использовалась для экспериментов с майнингом, но ферму так и не собрал, любые проверки. ";videokarty;
119;Продам видеокарту gtx 1050;1374524224;2018-10-21;13:07:00;//62.img.avito.st/640x480/4848998962.jpg,//90.img.avito.st/640x480/4848999290.jpg,;Москва,м.Щелковская;6 200;"
Продам видеокартыMSI GeForce GTX 1050 Low Profile - 1 штука, куплена 12.01.2018, гарантия 3 года. Цена 6200р.Проверить и забрать можно в 10 минутах от м. Щелковская. Либо могу донести до м. Щелковская либо м. Первомайская.Коробки, диски в наличии.Майнинг не выгоден. ";videokarty;
120;Geforce gtx 1060 6 gb jetstream;1317981959;2018-10-21;13:34:00;//50.img.avito.st/640x480/4890151450.jpg,//44.img.avito.st/640x480/4890151444.jpg,//68.img.avito.st/640x480/4890151468.jpg,//69.img.avito.st/640x480/4890151469.jpg,//06.img.avito.st/640x480/4890151506.jpg,;Москва,м.УлицаакадемикаЯнгеля;19 000;"
Покупал в феврале в ситилинке под новый мощный пк, но в итоге понял, что мне он не нужен. Естественно не использовался для майнинга, не разгонялся. Гарантия, состояние как в магазине. Без обмана и скрытых дефектов. Отвечу на все вопросы. Без торга. ";videokarty;
121;Blackmagic design Intensity Pro 4K;839346622;2018-10-21;13:47:00;//83.img.avito.st/640x480/2995657583.jpg,//89.img.avito.st/640x480/4890223789.jpg,;Москва,м.Селигерская;15 000;"
Продам плату видеозахвата и мониторинга в разрешении HD и ULTRA HD Blackmagic Intensity Pro 4K. Б/У. Использовалась редко. ";videokarty;
122;Видеокарта Gigabyte R7 250 1gb;1544719083;2018-10-21;13:35:00;//91.img.avito.st/640x480/4890173791.jpg,//80.img.avito.st/640x480/4890173980.jpg,//90.img.avito.st/640x480/4890174090.jpg,;Москва,м.Планерная;2 500;"
GV-R725OC-1GI ";videokarty;
123;GeForce MSI GTX 1070;1685823319;2018-10-21;13:11:00;//48.img.avito.st/640x480/4890080748.jpg,//75.img.avito.st/640x480/4890080475.jpg,//99.img.avito.st/640x480/4890080999.jpg,;Москва,м.Бабушкинская;20 000;"
В отличном состоянии. Не перекупщик, свое продаю, пользовалась лично, лежит без дела! По всем вопросам - пишите!Читаю сообщения только тут, звонить бесполезно. Доставка возможна) ";videokarty;
124;Видеокарта 1050ti Gigabyte;1326478012;2018-10-21;13:12:00;//03.img.avito.st/640x480/4828534003.jpg,;Москва,м.Сухаревская;7 600;"
Есть гарантийный талон, гарантия 36 мес, приобреталась в январе этого года в Регарде.Зачем переплачивать за новую, если можно купить оборудование с гарантией более 2 лет значительно дешевле???Не требует дополнительного питания. Тихая и производительная.Лежит в офисе, там же можно посмотреть/проверить в будни. ";videokarty;
125;Palit GeForce GTX 1070;1055086220;2018-10-21;15:01:00;//77.img.avito.st/640x480/4210855577.jpg,;Москва,м.Белорусская;29 990;"
В наличии 2 штукиPalit GeForce GTX 1070 1607Mhz PCI-E 3.0 8192Mb 8000Mhz 256 bit DVI HDMI HDCP DualНовые в коробке, чек гарантия. Проверка. Тихая холодная. ";videokarty;
126;Видеокарта GTX980TI;1301550773;2018-10-21;13:58:00;//78.img.avito.st/640x480/4790819378.jpg,//80.img.avito.st/640x480/4790819380.jpg,//05.img.avito.st/640x480/4790819405.jpg,;Москва,м.Охотныйряд;24 000;"
Видеокарта фирмы Asus. Продаю, в игры перестал играть, из-за нехватки времени. ";videokarty;
